name,search_word,lati,longi,u_time,time_mor,time_nig,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,nineteen,twenty,twenty_one,twenty_two,twenty_three,s_six,s_seven,s_eight,s_nine,s_ten,s_eleven,s_twelve,s_thirteen,s_fourteen,s_fifteen,s_sixteen,s_seventeen,s_eighteen,s_nineteen,s_twenty,s_twenty_one,s_twenty_two,s_twenty_three
臺北101觀景店,迷客夏Milksha 臺北101觀景店,25.0339444844451,121.564760769135,10:00–21:00,10,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
臺北公館店,迷客夏Milksha 臺北公館店,25.0157443431597,121.532274887476,10:00 22:00,10,22,0,0,0,0,0,9,27,54,36,27,45,54,63,45,18,18,0,0,0,0,0,0,0,9,27,9,9,0,0,9,18,36,18,9,0,0
臺北龍山寺店,迷客夏Milksha 萬華龍山寺店,25.0354342,121.4990228,10:00–22:00,10,22,0,0,0,0,22,33,22,55,33,33,77,66,100,44,22,0,0,0,0,0,0,0,11,0,22,44,100,66,55,22,33,44,88,44,0,0
臺北忠孝復興店,迷客夏Milksha 臺北忠孝復興店,25.0427031,121.5443302,10:00–22:00,10,22,0,0,0,0,17,21,39,26,26,13,4,0,13,26,60,47,0,0,0,0,0,0,39,8,0,8,21,52,30,34,21,21,21,43,0,0
臺北東區地下街店,迷客夏Milksha 臺北東區地下街店,25.0412903,121.5516179,11:00 21:30,11,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
臺北南港站前店,迷客夏Milksha 臺北南港站前店,25.0557946,121.605967,平日10:00 21:00、假日10:00 20:00,10,21,0,0,0,0,14,45,80,100,80,68,48,57,51,40,40,0,0,0,0,0,0,0,8,17,14,17,40,48,57,37,20,14,0,0,0,0
臺北和碩店,迷客夏Milksha 臺北和碩店,25.12717695,121.47213185,平日：09:00 19:30 假日：休假,9,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
臺北通化店,迷客夏Milksha 臺北通化店,25.0319744,121.5543649,10:00～22:30,10,22,0,0,0,0,6,40,60,93,93,73,93,46,20,6,0,6,0,0,0,0,0,0,0,46,46,60,53,26,20,33,26,33,13,6,0,0
臺北景美店,迷客夏Milksha 臺北景美店,24.9931303,121.5414954,10:00 22:00,10,22,0,0,0,0,8,8,25,16,25,41,83,75,41,25,16,41,0,0,0,0,0,0,83,75,66,25,8,8,25,16,0,0,16,16,0,0
臺北中山南西店,迷客夏Milksha 臺北中山南西店,25.0515173,121.5215043,平日：9:00 22:00 假日：9:00 22:00,9,22,0,0,0,8,25,16,25,25,8,8,8,25,16,0,0,8,0,0,0,0,0,66,33,41,50,50,33,25,41,16,8,0,0,0,0,0
臺北西門西寧店,迷客夏Milksha 臺北西門西寧店,25.044426,121.506284,平日：10:00 22:00 假日：10:00 22:00,10,22,0,0,0,0,23,7,0,15,30,69,38,30,38,38,15,0,0,0,0,0,0,0,7,0,0,0,7,23,7,0,0,0,0,0,0,0
臺北北醫莊敬店,迷客夏Milksha 臺北北醫莊敬店,25.0290906,121.5624556,平日：10:00 21:30 假日：10:00 21:30,10,21,0,0,0,0,18,45,45,27,36,45,27,9,0,0,9,27,0,0,0,0,0,0,45,27,36,45,36,54,45,45,9,9,9,18,0,0
臺北興隆店,迷客夏Milksha 臺北興隆店,24.9989303,121.556981,平日：10:00 22:00 假日：10:00 22:00,10,22,0,0,0,0,0,0,4,12,12,24,20,24,48,68,88,64,40,0,0,0,0,0,36,80,100,84,68,52,44,44,52,68,72,56,28,0
臺北永吉店,迷客夏Milksha 臺北永吉店,25.0432159,121.5686969,平日：09:00 22:00 假日：09:00 22:00,9,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
臺北遼寧店,迷客夏Milksha 臺北遼寧店,25.0486068,121.5420395,平日：09:00 22:00 假日：09:00 22:00,9,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,4,9,13,18,31,31,50,45,40,54,68,72,45,0,0
臺北虎林店,迷客夏Milksha 臺北虎林店,25.0400749,121.576914,平日：10:00 22:00 假日：10:00 22:00,10,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,13,36,63,68,77,63,100,86,86,59,0,0,0
臺北伊通店,迷客夏Milksha 臺北伊通店,25.0528686,121.5346997,平日：10:00 22:00 假日：10:00 22:00,10,22,0,0,0,0,19,39,66,64,52,43,33,19,15,9,7,0,0,0,0,0,0,0,0,33,41,37,45,41,47,39,39,31,25,0,0,0
臺北天母店,迷客夏Milksha 臺北天母店,25.1073414,121.5276157,平日：09:00 22:30 假日：09:00 22:30,9,22,0,0,0,33,50,41,16,16,33,75,100,83,33,16,8,33,0,0,0,0,0,16,41,33,41,25,16,16,41,41,41,41,100,83,0,0
臺北南陽店,迷客夏Milksha 臺北南陽店,25.0442614,121.5161377,平日：10:00 22:00 假日：10:30 21:30,10,22,0,0,0,0,23,56,81,78,43,24,28,55,76,63,0,0,0,0,0,0,0,0,0,47,85,94,75,52,40,47,50,46,0,0,0,0
臺北北投店,迷客夏Milksha 臺北北投店,25.1330829,121.5016116,平日：10:00 22:00 假日：10:00 22:00,10,22,0,0,0,0,40,64,70,68,54,58,72,80,82,72,54,0,0,0,0,0,0,0,78,86,80,62,60,60,70,76,78,72,54,0,0,0
臺北錦州店,迷客夏Milksha 臺北錦州店,25.0605380524109,121.540057471151,平日：10:30 21:00 假日：11:00 21:00,10,21,0,0,0,0,25,45,78,80,84,76,72,62,58,47,0,0,0,0,0,0,0,0,0,29,43,58,72,88,94,80,56,0,0,0,0,0
臺北士林店,迷客夏Milksha 臺北士林店,25.13472317,121.47355873,平日：10:00 22:30 假日：10:00 22:30,10,22,0,0,0,0,66,86,80,46,46,26,20,20,40,20,20,26,0,0,0,0,0,0,40,53,60,33,13,13,26,60,66,73,66,46,0,0
臺北瑞光店,迷客夏Milksha 臺北瑞光店,25.0687871,121.5864989,平日：10:00 21:30 假日：11:00 21:00,10,21,0,0,0,0,4,19,47,42,19,4,0,14,42,61,57,0,0,0,0,0,0,0,0,28,23,28,66,80,100,85,85,80,71,0,0,0
臺北南昌店,迷客夏Milksha 臺北南昌店,25.0307524,121.5177771,平日：10:00 22:30 假日：10:00 22:30,10,22,0,0,0,0,39,58,90,73,65,60,73,82,87,75,60,41,0,0,0,0,0,0,43,53,56,56,63,63,68,70,70,82,68,58,0,0
臺北南京店,迷客夏Milksha 臺北南京店,25.0512094,121.5609083,平日：10:00 22:00 假日：10:00 22:00,10,22,0,0,0,0,14,42,100,100,77,45,42,60,82,82,77,0,0,0,0,0,0,0,0,20,31,45,57,62,57,54,54,54,37,0,0,0
臺北石牌店,迷客夏Milksha 臺北石牌店,25.1153283,121.517775,平日：10:00 22:00 假日：10:00 22:00,10,22,0,0,0,0,40,50,52,47,50,40,40,38,50,45,30,19,0,0,0,0,0,0,52,69,88,92,80,78,76,76,80,76,61,38,0,0
臺北農安店,迷客夏Milksha 臺北農安店,25.0648566,121.5237904,平日：10:00 23:00 假日：10:00 23:00,10,23,0,0,0,0,56,100,86,66,60,53,40,30,23,13,13,13,0,0,0,0,0,0,0,66,80,66,63,56,60,63,56,40,40,30,0,0
