name,search_word,lati,longi,u_time,time_mor,time_nig,s_six,s_seven,s_eight,s_nine,s_ten,s_eleven,s_twelve,s_thirteen,s_fourteen,s_fifteen,s_sixteen,s_seventeen,s_eighteen,s_nineteen,s_twenty,s_twenty_one,s_twenty_two,s_twenty_three
瑞光店,50嵐 瑞光店,25.06877,121.5862405,10:00–22:00,10,22,0,0,0,0,53,66,89,92,89,71,66,76,78,73,60,42,0,0
實踐店,50嵐 實踐店,25.083095,121.5464509,11:00–22:30,11,22,0,0,0,0,0,35,35,57,71,42,14,21,50,100,71,64,21,0
寧波店,50嵐 寧波店,25.0309349,121.517759,10:00–22:00,10,22,0,0,0,0,51,54,54,48,35,35,25,21,15,21,29,28,0,0
寧夏店,50嵐 寧夏店,25.0573193,121.5155735,10:00–21:00,10,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
劍潭店,50嵐 劍潭店,25.0808735,121.5228134,10:00–22:00,10,22,0,0,0,0,37,54,58,70,79,83,91,70,75,87,87,75,0,0
德安店,50嵐 德安店,25.0800432,121.5922544,10:00–22:30,10,22,0,0,0,0,0,0,16,50,66,25,8,0,16,41,100,58,25,0
德行店,50嵐 德行店,25.105171,121.522829,11:00–22:30,11,22,0,0,0,0,0,35,47,58,47,32,17,17,23,38,52,44,44,0
遼寧店,50嵐 遼寧店,25.0479328,121.542051,11:00–22:30,11,22,0,0,0,0,0,25,28,32,28,42,53,39,39,39,46,35,35,0
興隆店,50嵐 興隆店,25.0009852,121.5545048,10:00–22:00,10,22,0,0,0,0,50,60,53,40,36,36,50,46,46,43,36,26,0,0
龍山寺店,50嵐 龍山寺店,25.035454,121.4990366,10:00–22:00,10,22,0,0,0,0,35,55,67,78,82,80,81,83,90,82,72,58,39,0
雙連店,50嵐 雙連店,25.0602912,121.5214967,11:00–21:00,11,21,0,0,0,0,0,36,86,100,86,63,63,45,27,27,22,0,0,0
寶興店,50嵐 寶興店,25.0265055,121.493984,10:00–22:00,10,22,0,0,0,0,38,30,15,7,23,61,46,53,61,38,38,23,0,0
饒河店,50嵐 饒河店,25.0512463,121.5782476,11:00–22:00,11,22,0,0,0,0,0,15,15,15,30,15,7,7,15,38,15,15,15,0
