地址,緯度,經度
台北市 中山區 長安東路二段78-1號,,
台北市 文山區 木柵路三段63號,,
台北市 松山區 八德路二段429號,,
台南市 東區 崇善路172號,,
桃園市 桃園區 春日路618號,,
台南市 北區 立賢路一段39號,,
新北市 永和區 仁愛路110號,,
新竹縣 竹北市 成功五街76號,,
新北市 新莊區 中正路879-1號1樓,,
新北市 汐止區 福德一路118號,,
台北市 內湖區 民善街88號,,
台北市 松山區 三民路113巷1-3號,,
高雄市 鼓山區 青海路112號,,
台北市 萬華區 桂林路26號,,
台中市 北區 進化路571-2號,,
台南市 東區 東安路100號,,
新竹縣 新豐鄉 建興路一段155號,,
新北市 樹林區 保安街二段70號,,
新竹市 北區 武陵路173-3號,,
桃園市 蘆竹區 南崁路290號,,
台北市 大同區 酒泉街35號,,
高雄市 鼓山區 昌盛路292號,,
新竹縣 竹北市 文興路二段96號,,
台北市 文山區 羅斯福路六段146號,,
台南市 東區 長榮路二段178號,,
新北市 中和區 南華路65號,,
高雄市 左營區 孟子路178-1號,,
台中市 南屯區 文心路一段376號,,
桃園市 中壢區 領航南路一段73號,,
台北市 士林區 德行西路36號1樓,,
台北市 中正區 常德街1號,,
桃園市 八德區 金和路60號,,
桃園市 龜山區 中興路一段37號,,
桃園市 桃園區 莊敬路二段47號,,
桃園市 中壢區 南園二路81號,,
台中市 南屯區 精科路112號,,
新竹縣 竹北市 博愛街239號,,
桃園市 中壢區 忠孝路83號,,
新北市 三峽區 國際一街1號1樓,,
台北市 中正區 忠孝西路一段50號1樓,,
新北市 新店區 央北一路102號,,
新北市 林口區 忠孝一路12號,,
台東縣 台東市 中華路一段421號1-3樓,,
台南市 善化區 文昌里中正路365號,,
高雄市 鼓山區 蓬萊路17號櫃號2108,,
屏東縣 屏東市 中華路80號1樓,,
新北市 新店區 安康路二段95號,,
新北市 板橋區 國光路189-5號,,
台北市 內湖區 成功路四段188號,,
台南市 安平區 郡平路131號,,
台中市 南區 興大路145號1樓(中興大學學生餐廳),,
新北市 永和區 安樂路270號,,
基隆市 仁愛區 仁二路66號,,
新北市 中和區 宜安路180號,,
台中市 西區 精誠路7-2號,,
新北市 淡水區 水源街1段91號1樓,,
新竹市 東區 建中路71號,,
桃園市 桃園區 中正路103號,,
台北市 中正區 南昌路一段123號1樓,,
高雄市 三民區 自由一路56號,,
新竹市 東區 埔頂二路2號,,
基隆市 中正區 新豐街233號,,
台北市 中山區 松江路363號1樓,,
新北市 淡水區 新市一路三段100號,,
台南市 東區 東門路三段180、182號,,
新北市 板橋區 區運路105號,,
桃園市 八德區 興豐路416號,,
台北市 信義區 忠孝東路五段458號1樓,,
台中市 南屯區 大墩路301號,,
台中市 東區 十甲東路566號,,
台北市 南港區 經貿二路1號1樓 商店街106-2,,
台北市 士林區 基河路250號,,
台北市 大安區 和平東路一段79號,,
桃園市 蘆竹區 大竹路440號1樓,,
彰化縣 員林市 莒光路328號,,
高雄市 三民區 大昌二路89號,,
台南市 東區 勝利路125號,,
台南市 北區 海安路三段800號,,
台中市 西屯區 漢口路二段110-7號,,
台中市 大里區 永隆路35號,,
新北市 汐止區 大同路二段312巷18號,,
新北市 板橋區 合宜路175號1樓,,
台南市 安南區 北安路二段262號,,
宜蘭縣 礁溪鄉 礁溪路五段48號,,
桃園市 楊梅區 永美路235號,,
高雄市 三民區 正興路173、175號,,
台南市 中西區 大同路一段214號1樓,,
台北市 士林區 天母東路67之1號,,
桃園市 蘆竹區 南崁路一段112號6樓,,
新北市 泰山區 仁愛路122號,,
新北市 板橋區 縣民大道二段7號B1,,
高雄市 三民區 十全一路100號(國研大樓1F),,
新北市 板橋區 貴興路139號,,
桃園市 觀音區 大觀路二段178-2號,,
台中市 南屯區 惠文路525號、527號,,
台北市 松山區 市民大道六段131號,,
台中市 大雅區 學府路459號,,
台北市 大安區 復興南路一段133之1號,,
高雄市 三民區 澄清路519號,,
桃園市 八德區 大智路102號1樓,,
高雄市 左營區 自由四路320號,,
台南市 永康區 復國一路339-1號,,
桃園市 桃園區 大興西路一段179-1號,,
台南市 麻豆區 中山路129號,,
新北市 板橋區 民生路三段21號,,
新北市 林口區 仁愛路二段188、190號,,
台中市 北區 雙十路一段125號,,
新竹市 東區 民生路99號,,
雲林縣 斗六市 中堅西路533號,,
台中市 北屯區 景賢路232號,,
台北市 中正區 金山南路一段8號1樓,,
桃園市 八德區 忠勇六街3號,,
嘉義市 西區 中山路294號,,
桃園市 龜山區 文青路199號,,
高雄市 左營區 文萊路284、286號,,
台中市 豐原區 三民路192號,,
新竹市 北區 北大路162號,,
台中市 西屯區 福科路579號,,
新北市 樹林區 學成路709號,,
新北市 五股區 芳洲八路132號、136號,,
新北市 林口區 文化三路一段460、462號,,
台北市 內湖區 成功路五段466號1樓、462號2樓,,
新北市 板橋區 莊敬路41號,,
高雄市 三民區 鼎祥街98號,,
桃園市 中壢區 民族路五段308號,,
台北市 北投區 中和街22號,,
台南市 安平區 華平路269號,,
台南市 永康區 中華路903號,,
桃園市 龜山區 文化里1鄰復興一路8號,,
新北市 淡水區 沙崙路137號1、2樓,,
台中市 太平區 育賢路265號,,
高雄市 岡山區 民有路60號,,
台南市 佳里區 中山路392號,,
新北市 三重區 忠孝路二段99-1號,,
台北市 信義區 福德街183號,,
桃園市 大溪區 員林路一段280號,,
雲林縣 虎尾鎮 新生路92號,,
台南市 永康區 大灣路1006號,,
台北市 中山區 民權東路三段16號,,
台中市 北區 進化北路378之39號,,
台中市 北區 博館二街62號,,
台北市 信義區 忠孝東路五段33號,,
新竹市 東區 中華路一段426號,,
新北市 土城區 中央路二段61巷37號,,
台中市 南區 德富路30號,,
新竹縣 竹北市 台元街26號3樓之3,,
台中市 梧棲區 文化路二段280號,,
台北市 信義區 莊敬路325巷36號,,
彰化縣 溪湖鎮 彰水路四段439巷151號,,
台中市 北屯區 松竹五路二段228號,,
高雄市 左營區 忠言路182號,,
高雄市 新興區 青年一路210號,,
新竹縣 竹東鎮 北興路2段3號,,
新北市 汐止區 民族二街100號1樓,,
新竹市 東區 力行三路11號,,
高雄市 三民區 建工路590號,,
桃園市 平鎮區 文化街25號,,
桃園市 中壢區 復興路17號,,
苗栗縣 頭份市 建國路107號,,
台中市 后里區 三豐路四段369號5,,
台北市 士林區 臨溪路70號,,
新北市 淡水區 中正路一段2號2樓(L102櫃),,
台中市 沙鹿區 北勢東路333號,,
高雄市 三民區 天祥一路146-1號,,
台中市 西區 向上南路一段168號,,
台北市 中正區 忠孝西路一段38號B1-B櫃,,
彰化縣 彰化市 彰美路一段159號,,
新竹市 東區 中正路2號1樓,,
桃園市 中壢區 中大路300號(松苑餐廳),,
台北市 士林區 前港街11號1樓,,
台中市 北區 健行路391號,,
基隆市 安樂區 麥金路231之5號,,
新竹市 東區 力行路25號,,
台北市 南港區 經貿二路186 號b棟 3樓,,
台北市 南港區 忠孝東路7段369號2樓(南港CITYLINK A棟),,
高雄市 楠梓區 建楠路145號,,
台中市 豐原區 圓環北路一段338號1、2樓,,
屏東縣 屏東市 仁愛路90號(屏東環球購物中心),,
新竹市 東區 研新二路6號,,
台北市 大安區 羅斯福路四段1號2樓(卓越聯合商場),,
新北市 板橋區 縣民大道二段277號1樓,,
台中市 北屯區 崇德路三段181號,,
高雄市 鼓山區 龍德路409號,,
台南市 善化區 南科九路17號(台積電P5廠),,
高雄市 小港區 桂華街66號,,
桃園市 桃園區 縣府路186號,,
基隆市 七堵區 福五街28號,,
台北市 大安區 信義路二段128號,,
金門縣 金城鎮 環島北路一段19號,,
高雄市 前金區 五福三路57號2樓,,
高雄市 三民區 博愛一路336號,,
台中市 西區 美村路一段689號,,
新北市 永和區 仁愛路313號1樓,,
桃園市 桃園區 正光路181號,,
台中市 西區 美村路一段103號,,
台北市 松山區 民權東路三段132號1樓,,
台北市 大同區 承德路三段238號,,
台北市 松山區 八德路三段237號1+2樓,,
台南市 新營區 三民路152-1號,,
台北市 大安區 辛亥路二段205號,,
高雄市 鳳山區 五甲三路35號,,
新北市 淡水區 中正路1號,,
桃園市 大溪區 慈湖路22號,,
台北市 大安區 新生南路一段1號光華館1樓,,
台中市 北區 中華路二段120之3號1樓、2樓,,
苗栗縣 苗栗市 建功里民族路70-1與70-2號,,
高雄市 前鎮區 一心二路39號,,
台中市 大里區 國光路二段147號1+2樓、149號1樓,,
高雄市 三民區 覺民路239-241號,,
台北市 信義區 信義路五段1號 102會議室旁,,
台北市 松山區 民生東路四段71號,,
台北市 北投區 天母西路132及132之1號,,
台北市 大安區 四維路170巷2號1樓,,
台北市 中正區 新生南路一段56號,,
台北市 內湖區 民權東路六段161號(博愛大樓1樓),,
高雄市 左營區 華夏路1303號,,
彰化縣 員林市 中山路一段785號,,
台北市 信義區 信義路五段95號,,
新北市 三重區 中華路41號1樓、2樓,,
台北市 內湖區 南京東路六段451巷33號、35號,,
台北市 中山區 八德路二段306號B1,,
新竹縣 湖口鄉 國強街1巷8號,,
台北市 信義區 吳興街250號,,
新北市 新店區 中央路157號1樓,,
新北市 林口區 文化三路二段217-1號,,
新竹縣 湖口鄉 中山路二段176號,,
台北市 士林區 中正路278號1F-3F,,
南投縣 埔里鎮 中山路三段219號,,
