品牌,門市名稱,座標,地址,營業時間
85度C,85度C桃園桃德店,"24.9657601,121.2943621",桃園市桃園區桃德路41號,07:00~22:00
85度C,85度C桃園桃鶯店,"24.9861304,121.3178576",桃園市桃園區桃鶯路70-3號,07:00~22:00
85度C,85度C梧棲文化店,"24.2550669,120.5308834",台中市梧棲區文化路2段138號,07:00~21:30
85度C,85度C梧棲中央店,"24.2456201,120.5374247",台中市梧棲區中央路一段825號,07:00~22:00
85度C,85度C埔心文化店,"24.9109202,121.1831329",桃園市楊梅區文化街259號,07:00~23:00
85度C,85度C楊梅環東店,"24.9097804,121.1572781",桃園市楊梅區環東路438號,07:00~22:30
85度C,85度C楊梅行善店,"24.9074785,121.1516926",桃園市楊梅區中山北路一段77號,06:30~22:00
85度C,85度C楊梅埔心店,"24.9197279,121.1840958",桃園市楊梅區永美路200號,06:30~22:00
85度C,85度C楊梅新成店,"24.9092737,121.1468977",桃園市楊梅區新成路165號,07:00~20:30
85度C,85度C高雄右昌店,"22.7209938,120.2898466",高雄市楠梓區德民路903號,07:00~24:00
85度C,85度C楠梓建楠店,"22.727077960434706, 120.32758864702647",高雄市楠梓區建楠路116號1樓,07:00~22:00
85度C,85度C樹林中華店,"24.9818129,121.4199981",新北市樹林區中華路68號,07:00~23:00
85度C,85度C樹林保安店,"24.9948143,121.4234474",新北市樹林區保安街一段59號,07:00~22:00
85度C,85度C樹林中山店,"24.991266337626854, 121.42309910660289",新北市樹林區中山路一段94號1F,06:00~23:00
85度C,85度C橋頭成功店,"22.7637268,120.3073831",高雄市橋頭區成功北路71號,07:00~22:30
85度C,85度C台南歸仁店,"22.9670105,120.2901391",台南市歸仁區中山路二段179號,07:00~22:00
85度C,85度C民雄建國店,"23.5236646,120.4396793",嘉義縣民雄鄉建國路三段164號,07:00~22:30
85度C,85度C嘉義民雄店,"23.5562004,120.4293085",嘉義縣民雄鄉中樂路87號,07:00~23:00
85度C,85度C嘉義水上店,"23.4339005,120.3988337",嘉義縣水上鄉中山路2段402號,06:45~21:30
85度C,85度C南投水里店,"23.811307710149492, 120.85069440915716",南投縣水里鄉中山路1段532號,週日~週四早上07:00~晚上21:00週五~週六早上07:00~晚上21:30
85度C,85度C永和保平店,"25.00757504433864, 121.51242458725928",新北市永和區保平路22號,06:00~24:00
85度C,85度C永和頂溪店,"25.011898546352104, 121.51487353826911",新北市永和區永和路二段105號1F,06:30~22:30
85度C,85度C永和得和店,"24.99947,121.523047",新北市永和區得和路320號,06:00~23:00
85度C,85度C永康南科店,"23.041328,120.2405136",台南市永康區中正北路58號,週一~週五:早上07:00~晚上22:00；週六~週日:早上07:30~晚上22:00
85度C,85度C永康崑山店,"23.0002776,120.2586508",台南市永康區大灣路802號,週六~週四：早上07:00~晚上23:00；週五：早上07:00~晚上23:30
85度C,85度C永康中華店,"23.0185442,120.2267331",台南市永康區大橋里中華路826號,06:30~23:00
85度C,85度C永康永明店,"23.0251951,120.2598655",台南市永康區永明街88號,07:00~23:00
85度C,85度C彰化永靖店,"23.918399,120.546092",彰化縣永靖鄉中山路一段805號,07:00~22:00
85度C,85度C汐止中興店,"25.065590947458176, 121.63149077837674",新北市汐止區中興路141號1樓,07:00~22:30
85度C,85度C汐止樟樹店,"25.0644249,121.6420245",新北市汐止區樟樹一路121號,07:00~22:00
85度C,85度C汐止建成店,"25.072753,121.6637461",新北市汐止區建成路37巷1號,06:30~22:00
